сил осталось только на копчёный олений язык
 филе пулярки с устрицами, жареные бараньи языки с соусом рамолад, куриное
бутылку пива Корона, вытряс на розовый язык две светлые капли, а 
 давало сигнал мышцам ротовой полости, гибкий язык передвигал подсолнух к коренным
 липкие бумажки, разевают рты, облизывают красными языками сладкий игольчатый холодок. 
 Движение воздуха над вытянутым собачьим языком, вызванное дыханием, которое в 
 выглядывали красные глазки и высовывался ржавый язык.
 мстителю и Лаэрту-фехтовальщику, кончику  красного языка, который так легко и 
 Медведь Дарью, зубы оскалил, высунул  красный язык, вытянул лапы с когтями 
 длинными железными когтями и долгим  огненным языком. 
 Подняв голову, Ирбис облизывает  бледным языком руку Саши Доброго. 
 с краю мойки, высунув длинный  ярко-розовый язык, утоляет жажду струйкой воды 
 глазки поблескивали, как две пуговки,  черный язык то и дело вываливался 
 стояла перед Итой, высунув большой  красный язык, и прерывисто дышала. 
 огонь в топке прожорливо воет.  Красные языки лижут лицо дяди Сани 
 открывать рты и высовывать наружу розовые языки. 
 флаги ― длинные и узкие, как  змеиные языки. 
 Собака, приоткрыв рот и высунув  красный язык, не обращает на меня 
 и слизывали кашу своими длинными  красными языками. 
 ), оно зализывает рану влажным  собачьим языком и молчит. 
 заглатывали красные помидоры, снимая их  черными языками прямо с блюд, козы 
 такое настоящая жара: её мокрый  розовый язык свисал почти до земли 
 пересохшем рту с трудом ворочался  сухой язык. 
 гражданское чувство, серое, как вареный  коровий язык. 
 намалеван улыбающийся рот с высунутым  красным языком. 
 и в моём бездумном акациевом  солёном языке появляется акцент цветущих свечек 
 Похоже на тонкие ломтики отварного  телячьего языка, но во рту тает 
 голову, открывает клюв, высовывает длинный  острый язык, закатывает глаза и издаёт 
 крестов, невысоких, едва достигающих колена.  Песьи языки свисают прапорами в штиле 
 спины дяди Сёмы показывает длинный  розовый язык приличной даме в зеркале 
 фонарика скользил по беленым, с  черными языками копоти от давних свечей 
 Губы от жажды потрескались, облизываю  сухим языком, и только горечь, только 
 ты показываешь забавный симпатичный человеческий  розовый язык лицу, перекошенному ужасом. 
 и песком, белок без зрачка,  черный язык, прикушенный коричневыми зубами. 
 Мясными деликатесами считались  олений язык и губы, сырой мозг 
 и изо рта вывалился длинный,  фиолетовый язык. 
 замер у магазинной витрины: сердце  куриное язык свиной, сердце утиное, филе 
 повалилась, сунув в мой рот  пресный язык, со свежей отдушкой какой-то 
